image_name,size,shape,hemo_dist,inclusion
EH5_Siemens012/jai_0000059_440_1054.png,NORM,NONE,TARG,NONE
EH5_Siemens012/jai_0001353_1286_1185.png,NORM,HELM,NONE,"BAST, HOJO"
EH5_Siemens012/jai_0001474_210_726.png,MICR,NONE,NONE,BAST
EH5_Siemens012/jai_0000182_530_1077.png,NORM,NONE,NONE,NRBC
CDB_Sample030/jai_0000017_642_109.png,NORM,NONE,NONE,HOJO
EH5_Siemens008/jai_0001350_1974_717.png,NORM,NONE,NONE,NONE
CDB_Sample030/jai_0000188_1049_796.png,MICR,OVAL,NONE,NONE
EH5_Siemens012/jai_0000951_513_920.png,NORM,NONE,NONE,"BAST, HOJO, RETI"
CDB_Sample125/jai_0000058_1457_1144.png,NORM,ECHI,NONE,NONE
EH5_Siemens008/jai_0001145_600_1310.png,NORM,NONE,NONE,NONE
CDB_Sample189/jai_0000160_454_722.png,NORM,NONE,TARG,NONE
EH5_Siemens008/jai_0000150_205_326.png,NORM,NONE,NONE,NONE
EH5_Siemens012/jai_0000951_513_920.png,NORM,NONE,NONE,"BAST, HOJO, RETI"
CDB_Sample125/jai_0000355_1545_485.png,NORM,NONE,NONE,MALA
EH5_Siemens037/jai_0000568_1513_350.png,NORM,NONE,NONE,HOJO
EH5_Siemens083/jai_0000185_1043_288.png,NORM,NONE,NONE,"BAST, RETI"
EH5_Siemens012/jai_0000174_360_339.png,NORM,BITE,NONE,NONE
CDB_Sample030/jai_0000277_965_1213.png,NORM,NONE,NONE,NONE
EH5_Siemens012/jai_0000951_513_920.png,NORM,NONE,NONE,"BAST, HOJO, RETI"
CDB_Sample156/jai_0000095_617_740.png,NORM,ACAN,NONE,NONE
EH5_Siemens083/jai_0000181_498_1440.png,NORM,NONE,HYPO,NONE
CDB_Sample189/jai_0000168_1713_1379.png,NORM,NONE,NONE,HOJO
CDB_Sample030/jai_0000101_1590_914.png,NORM,NONE,NONE,NONE
EH5_Siemens013/jai_0000417_1299_1304.png,NORM,NONE,STOM,NONE
CDB_Sample012/jai_0000148_1678_496.png,MICR,NONE,NONE,NONE
EH5_Siemens008/jai_0000449_537_138.png,NORM,NONE,NONE,NONE
EH5_Siemens012/jai_0000390_1773_1214.png,MICR,NONE,NONE,BAST
EH5_Siemens013/jai_0001193_1013_948.png,NORM,TEAR,NONE,NONE
EH5_Siemens012/jai_0000003_1086_469.png,NORM,NONE,TARG,NONE
CDB_Sample156/jai_0000309_1697_1239.png,NORM,NONE,NONE,NONE
EH5_Siemens012/jai_0000059_311_883.png,NORM,NONE,TARG,NONE
CDB_Sample189/jai_0000038_751_204.png,NORM,NONE,NONE,"HOJO, RETI"
CDB_Sample012/jai_0000111_139_871.png,MICR,NONE,NONE,NONE
CDB_Sample030/jai_0000272_1741_716.png,NORM,NONE,NONE,NONE
EH5_Siemens083/jai_0000184_849_299.png,NORM,NONE,HYPO,NONE
EH5_Siemens012/jai_0000139_553_664.png,NORM,NONE,HYPO,"BAST, RETI"
CDB_Sample189/jai_0000115_911_1217.png,NORM,NONE,NONE,HOJO
CDB_Sample189/jai_0000033_651_904.png,NORM,NONE,NONE,HOJO
EH5_Siemens012/jai_0001514_805_585.png,NORM,NONE,HYPO,NONE
CDB_Sample125/jai_0000004_417_735.png,NORM,NONE,NONE,RETI
EH5_Siemens029/jai_0000568_1195_1286.png,NORM,TEAR,NONE,NONE
EH5_Siemens012/jai_0000995_442_1239.png,MICR,NONE,NONE,BAST
CDB_Sample156/jai_0000097_1882_962.png,NORM,NONE,NONE,NONE
EH5_Siemens012/jai_0000264_1196_1287.png,NORM,NONE,NONE,"BAST, HOJO, RETI"
CDB_Sample030/jai_0000147_1782_1279.png,NORM,ECHI,NONE,NONE
EH5_Siemens012/jai_0000264_1196_1287.png,NORM,NONE,NONE,"BAST, HOJO, RETI"
EH5_Siemens008/jai_0000578_1265_173.png,NORM,BITE,NONE,NONE
EH5_Siemens013/jai_0000333_1584_784.png,NORM,TEAR,NONE,NONE
EH5_Siemens037/jai_0000657_1960_1413.png,NORM,NONE,HYPO,NONE
EH5_Siemens012/jai_0001268_93_73.png,MICR,NONE,NONE,BAST
EH5_Siemens012/jai_0000019_956_1247.png,NORM,NONE,NONE,"BAST, RETI"
EH5_Siemens037/jai_0000395_465_1229.png,NORM,NONE,NONE,HOJO
CDB_Sample189/jai_0000161_1556_854.png,NORM,NONE,NONE,PABO
CDB_Sample189/jai_0000340_1836_525.png,NORM,NONE,NONE,RETI
EH5_Siemens013/jai_0001114_480_122.png,NORM,NONE,NONE,NONE
CDB_Sample030/jai_0000099_1054_120.png,NORM,ECHI,NONE,NONE
EH5_Siemens012/jai_0001268_1072_216.png,MICR,OVAL,NONE,"HOJO, RETI"
EH5_Siemens013/jai_0000074_580_470.png,NORM,TEAR,NONE,NONE
EH5_Siemens012/jai_0000318_118_730.png,NORM,NONE,NONE,NRBC
CDB_Sample030/jai_0000188_1549_187.png,NORM,NONE,NONE,NONE
CDB_Sample156/jai_0000095_617_740.png,NORM,ACAN,NONE,NONE
EH5_Siemens029/jai_0000871_1484_892.png,NORM,NONE,NONE,NONE
EH5_Siemens012/jai_0001353_1286_1185.png,NORM,HELM,NONE,"BAST, HOJO"
EH5_Siemens012/jai_0001437_654_1314.png,NORM,OVAL,NONE,"BAST, HOJO"
EH5_Siemens013/jai_0000333_727_268.png,MICR,NONE,NONE,NONE
CDB_Sample189/jai_0000038_751_204.png,NORM,NONE,NONE,"HOJO, RETI"
EH5_Siemens003/jai_0000876_109_368.png,NORM,NONE,NONE,NONE
EH5_Siemens012/jai_0001268_1072_216.png,MICR,OVAL,NONE,"HOJO, RETI"
EH5_Siemens037/jai_0000400_1313_75.png,NORM,ECHI,NONE,NONE
EH5_Siemens012/jai_0001256_755_1091.png,NORM,NONE,NONE,BAST
EH5_Siemens029/jai_0000569_1271_466.png,NORM,NONE,HYPO,NONE
EH5_Siemens012/jai_0000003_1149_938.png,NORM,NONE,HYPO,NONE
EH5_Siemens012/jai_0000063_626_198.png,NORM,NONE,NONE,NONE
EH5_Siemens037/jai_0000527_260_53.png,NORM,OVAL,NONE,NONE
CDB_Sample189/jai_0000165_710_1330.png,MICR,NONE,NONE,PABO
CDB_Sample189/jai_0000165_710_1330.png,MICR,NONE,NONE,PABO
CDB_Sample030/jai_0000274_922_59.png,NORM,NONE,HYPR,NONE
EH5_Siemens008/jai_0000838_785_587.png,MICR,NONE,NONE,NONE
CDB_Sample125/jai_0000274_183_102.png,NORM,NONE,HYPO,NONE
CDB_Sample156/jai_0000395_235_368.png,NORM,ECHI,NONE,NONE
EH5_Siemens012/jai_0000995_442_1239.png,MICR,NONE,NONE,BAST
EH5_Siemens008/jai_0000449_882_333.png,NORM,NONE,NONE,HOJO
EH5_Siemens012/jai_0000951_513_920.png,NORM,NONE,NONE,"BAST, HOJO, RETI"
CDB_Sample125/jai_0000095_684_329.png,NORM,NONE,NONE,MALA
EH5_Siemens013/jai_0000119_80_1372.png,NORM,TEAR,NONE,NONE
EH5_Siemens037/jai_0000527_1574_169.png,NORM,ECHI,NONE,NONE
CDB_Sample012/jai_0000028_653_398.png,MICR,NONE,NONE,NONE
CDB_Sample030/jai_0000020_793_313.png,NORM,ELLI,NONE,NONE
EH5_Siemens083/jai_0001387_702_257.png,NORM,OVAL,HYPO,NONE
EH5_Siemens083/jai_0000101_924_102.png,NORM,NONE,NONE,NONE
CDB_Sample189/jai_0000164_1328_1423.png,NORM,NONE,NONE,RETI
CDB_Sample030/jai_0000017_642_109.png,NORM,NONE,NONE,HOJO
CDB_Sample030/jai_0000273_1496_65.png,NORM,NONE,NONE,RETI
EH5_Siemens083/jai_0000142_1451_1439.png,NORM,OVAL,HYPO,NONE
CDB_Sample156/jai_0000265_1408_637.png,NORM,ECHI,NONE,NONE
EH5_Siemens008/jai_0000578_1265_173.png,NORM,BITE,NONE,NONE
EH5_Siemens003/jai_0000976_1393_893.png,NORM,NONE,NONE,NONE
EH5_Siemens008/jai_0000241_945_1417.png,NORM,NONE,NONE,NONE
CDB_Sample012/jai_0000028_892_926.png,MICR,NONE,NONE,NONE
EH5_Siemens008/jai_0001610_92_564.png,NORM,BITE,NONE,NONE
CDB_Sample189/jai_0000122_1859_296.png,NORM,NONE,NONE,HOJO
EH5_Siemens083/jai_0000184_1521_1008.png,MICR,SCHI,NONE,NONE
EH5_Siemens029/jai_0000692_1505_593.png,NORM,NONE,NONE,BAST
EH5_Siemens013/jai_0000119_80_1018.png,NORM,TEAR,NONE,NONE
CDB_Sample189/jai_0000334_472_416.png,NORM,NONE,HYPO,PABO
CDB_Sample030/jai_0000277_1202_330.png,NORM,TEAR,NONE,NONE
EH5_Siemens012/jai_0000044_69_126.png,NORM,NONE,NONE,NRBC
EH5_Siemens045/jai_0000095_1972_1162.png,MICR,SCHI,NONE,NONE
EH5_Siemens012/jai_0000139_1429_1079.png,NORM,NONE,HYPO,NONE
EH5_Siemens012/jai_0000836_207_898.png,NORM,NONE,NONE,NRBC
CDB_Sample125/jai_0000356_1279_671.png,NORM,NONE,NONE,MALA
CDB_Sample189/jai_0000293_368_1339.png,NORM,SICK,NONE,NONE
CDB_Sample012/jai_0000156_1166_343.png,NORM,NONE,NONE,NONE
CDB_Sample156/jai_0000606_603_121.png,NORM,ECHI,NONE,NONE
EH5_Siemens013/jai_0000327_498_888.png,NORM,NONE,NONE,NONE
EH5_Siemens083/jai_0000142_1605_241.png,MACR,NONE,NONE,BAST
EH5_Siemens012/jai_0000995_442_1239.png,MICR,NONE,NONE,BAST
EH5_Siemens013/jai_0000847_953_58.png,NORM,TEAR,NONE,NONE
EH5_Siemens083/jai_0001430_905_528.png,NORM,NONE,NONE,NONE
EH5_Siemens003/jai_0000980_1335_720.png,NORM,NONE,NONE,NONE
EH5_Siemens012/jai_0000057_1381_798.png,NORM,NONE,TARG,NONE
EH5_Siemens083/jai_0000181_631_1060.png,MICR,NONE,NONE,NONE
CDB_Sample156/jai_0000051_1165_195.png,NORM,ECHI,NONE,NONE
CDB_Sample012/jai_0000199_1173_1037.png,MICR,NONE,NONE,NONE
EH5_Siemens013/jai_0000119_1054_461.png,NORM,NONE,NONE,NONE
EH5_Siemens012/jai_0001268_1072_216.png,MICR,OVAL,NONE,"HOJO, RETI"
CDB_Sample125/jai_0000059_1154_945.png,NORM,ECHI,NONE,MALA
EH5_Siemens012/jai_0000834_965_1452.png,NORM,ELLI,NONE,NONE
CDB_Sample030/jai_0000147_1211_260.png,NORM,OVAL,HYPO,NONE
EH5_Siemens012/jai_0000192_252_83.png,NORM,NONE,NONE,NONE
CDB_Sample156/jai_0000050_771_202.png,NORM,ACAN,NONE,NONE
EH5_Siemens045/jai_0000184_1650_237.png,NORM,BITE,NONE,NONE
EH5_Siemens013/jai_0001064_449_1008.png,NORM,NONE,NONE,NONE
EH5_Siemens037/jai_0000483_84_1306.png,NORM,NONE,HYPO,NONE
CDB_Sample189/jai_0000164_1551_180.png,NORM,NONE,NONE,NONE
EH5_Siemens037/jai_0000142_289_547.png,NORM,ACAN,NONE,NONE
EH5_Siemens012/jai_0000192_1260_1128.png,NORM,NONE,HYPO,NONE
EH5_Siemens014/jai_0000194_1679_1219.png,NORM,HELM,NONE,NONE
EH5_Siemens012/jai_0000836_207_898.png,NORM,NONE,NONE,NRBC
